entity,focus,focus2
Austria,Broader focus,1
Belgium,Broader focus,1
Bulgaria,Illicit drugs focus,2
Croatia,Illicit drugs focus,2
Cyprus,Broader focus,1
Czechia,Broader focus,1
Denmark,Illicit drugs focus,2
Estonia,Illicit drugs focus,2
Finland,Illicit drugs focus,2
France,Broader focus,1
Germany,Broader focus,1
Greece,Illicit drugs focus,2
Hungary,Illicit drugs focus,2
Ireland,Broader focus,1
Italy,Illicit drugs focus,2
Latvia,Illicit drugs focus,2
Lithuania,Broader focus,1
Luxembourg,Broader focus,1
Malta,Illicit drugs focus,2
Netherlands,Illicit drugs focus,2
Poland,Broader focus,1
Portugal,Broader focus,1
Romania,Illicit drugs focus,2
Slovakia,Illicit drugs focus,2
Slovenia,Illicit drugs focus,2
Spain,Broader focus,1
Sweden,Broader focus,1
Turkey,Illicit drugs focus,2
Norway,Broader focus,1
